firm_failure,firm_financial_crisis,first_year,age_at_financial_crisis,lifespan,log_total_investment,log_ipo_value,return_to_ipo,log_time_to_ipo,california,industry_segment,firm_founder_ceo,dot_com_ipo,firm_id
1,1,1996,12,12,15.332886,18.581522,25.755201,8.1475773,1,Software,1,0,210
1,0,1998,,4,17.294298,18.570951,3.584626,7.4377952,0,Retailers,0,1,211
1,0,1998,,4,16.094481,19.157127,21.384087,7.3192024,1,Software,1,1,212
0,0,2010,,7,17.45167,19.455549,7.4177742,8.1886892,1,Software,1,0,213
1,0,2013,,2,17.388037,19.278826,6.6245928,8.4759541,0,Software,0,0,214
1,0,1999,,5,18.041128,19.387577,3.8437533,7.3375878,1,Media and Content,0,1,215
1,0,1995,,1,16.647028,18.800436,8.6141682,7.8751192,0,Media and Content,0,0,216
0,1,2006,2,11,19.369593,20.519337,3.1573846,7.7727528,1,Communications and Networking,1,0,217
1,0,2011,,5,17.883219,20.124205,9.4025908,8.4821873,1,Communications and Networking,0,0,218
1,0,1995,,3,16.926727,19.42334,12.141313,6.9527287,1,Consumer Information Services,0,0,219
1,0,1997,,5,16.958956,19.66943,15.036419,6.7580943,1,Software,0,0,220
0,0,2009,,8,17.882124,19.282259,4.0557518,8.2060375,1,Semiconductors,0,0,221
1,0,2003,,3,18.089323,20.160217,7.9319119,7.5224004,0,Communications and Networking,1,0,222
0,1,1998,10,17,18.118824,20.089418,7.1749368,7.3981743,1,Financial Institutions and Services,0,1,223
1,0,1999,,1,17.295517,20.113037,16.735302,6.9488974,0,Business Support Services,1,1,224
0,0,2010,,7,17.803259,19.582001,5.9224062,7.9109573,1,Semiconductors,1,0,225
1,0,2009,,6,18.153645,19.886129,5.6546874,8.5502415,0,Software,0,0,226
0,1,2005,3,12,18.65317,20.069975,4.1239243,8.7308521,0,Communications and Networking,0,0,227
1,0,1999,,2,17.075275,19.333405,9.5651712,7.3118863,1,Business Support Services,1,1,228
0,1,2004,4,13,17.201344,19.936159,15.406907,8.6269436,0,Electronics and Computer Hardware,1,0,229
1,1,2005,3,4,17.828787,20.234177,11.082741,7.6741529,0,Electronics and Computer Hardware,0,0,230
1,0,1997,,8,15.87975,19.551647,39.326431,7.3031702,0,Software,0,0,231
1,0,1998,,7,18.314016,19.966442,5.2196236,7.167038,0,Media and Content,1,1,232
1,0,2003,,1,17.054897,19.273815,9.1973619,7.4157772,1,Software,0,0,233
1,0,2010,,6,17.445955,20.161905,15.118979,8.2860174,1,Software,0,0,234
0,1,1998,10,19,18.182842,21.148193,19.40152,7.1228666,1,Communications and Networking,0,1,235
0,1,2007,1,11,17.351021,19.783401,11.385968,7.9738445,0,Media and Content,1,0,236
1,0,2011,,1,18.852917,20.246918,4.030951,8.0426998,0,Travel and Leisure,1,0,237
1,0,2013,,1,,17.822069,,8.3877678,1,Software,0,0,238
1,0,1998,,3,16.932846,20.274803,28.274433,8.6801624,0,Business Support Services,0,1,239
1,0,1998,,4,16.667498,19.120998,11.62898,7.7088594,1,Communications and Networking,1,1,240
1,0,1998,,2,16.907745,19.361712,11.634407,7.5464463,1,Consumer Information Services,1,1,241
1,1,2003,5,5,16.357021,19.610401,25.877676,7.3092122,1,Semiconductors,1,0,242
0,0,2013,,4,19.407293,22.041159,13.927493,8.0043659,1,Financial Institutions and Services,1,0,243
0,1,2007,1,10,17.747677,19.182638,4.1994858,7.207119,0,Financial Institutions and Services,1,1,244
1,0,1999,,6,17.880606,19.824064,6.9828553,7.2654295,1,Electronics and Computer Hardware,1,1,245
1,0,2012,,3,19.26602,20.132027,2.3773983,7.9116907,0,Business Support Services,1,0,246
1,0,1999,,1,17.313396,19.260469,7.0081387,7.0884089,0,Business Support Services,1,1,247
1,0,2010,,5,18.053215,21.871288,45.516407,8.0070343,1,Consumer Information Services,0,0,248
1,0,1998,,8,17.065243,19.340792,9.7332516,7.158514,1,Software,1,1,249
0,1,2005,3,13,17.026127,19.108419,8.0228348,7.7437034,0,Business Support Services,1,0,250
0,1,1999,9,18,17.357626,19.258589,6.6923351,7.3901815,0,Business Support Services,1,1,251
0,1,2008,0,9,16.87792,19.365911,12.03709,7.7591872,0,Software,1,0,252
1,0,1999,,0,16.347265,19.377039,20.692568,8.3825178,0,Business Support Services,1,1,253
0,1,1999,9,15,17.875013,20.730436,17.381783,7.04316,1,Consumer Information Services,1,1,254
1,0,2000,,7,18.580669,19.721666,3.1298864,6.3062754,1,Business Support Services,1,0,255
1,1,2001,7,10,18.309095,19.659632,3.859493,7.4354382,1,Software,1,0,256
1,0,1999,,1,17.611961,19.028559,4.1230602,7.3639135,0,Business Support Services,1,1,257
1,0,1998,,0,16.860008,19.229822,10.6954,7.5786567,0,Semiconductors,1,1,258
1,0,1998,,5,16.627636,19.887865,26.055521,7.076654,1,Software,1,1,259
0,1,2003,5,14,17.983414,19.508833,4.5970707,7.420579,0,Financial Institutions and Services,1,0,260
0,1,2002,6,15,16.924124,18.653536,5.6373386,7.7647204,0,Business Support Services,0,0,261
0,0,2013,,1,17.559618,18.812855,3.5016592,7.8597994,1,Materials and Chemicals,0,0,262
1,1,1998,10,16,16.862574,20.416206,34.939999,8.182559,0,Retailers,1,1,263
1,0,2012,,2,18.06221,18.934256,2.3917997,8.0529327,0,Software,0,0,264
0,0,2009,,9,17.047083,19.58494,12.652535,7.7819734,1,Semiconductors,1,0,265
1,1,1995,13,13,14.969691,17.615175,14.090267,8.3059778,0,Media and Content,1,0,266
0,1,2005,3,12,18.088043,19.786663,5.4663963,7.9731555,1,Semiconductors,1,0,267
1,0,2010,,4,18.643135,19.158073,1.6735328,8.0103598,1,Communications and Networking,0,0,268
1,1,2003,5,11,16.745903,,,7.931644,0,Construction and Civil Engineering,1,0,269
1,0,1998,,7,16.337545,20.094168,42.8036,7.8976684,0,Software,1,1,270
1,0,1999,,2,18.623241,19.508204,2.4228885,7.5632005,0,Communications and Networking,0,1,271
1,1,2006,2,6,21.205622,22.471704,3.5469291,8.4501982,0,Communications and Networking,1,0,272
1,0,1997,,8,16.859053,18.85181,7.3357363,8.0352793,1,Software,0,0,273
1,1,1999,9,10,17.336233,20.198999,17.509903,7.3330231,0,Semiconductors,1,1,274
0,0,2014,,3,18.296402,19.774494,4.3845668,8.5663643,1,Business Support Services,1,0,275
1,0,1999,,0,16.246691,19.31358,21.474953,7.0139155,0,Software,0,1,276
1,0,1996,,3,16.073421,19.654581,35.915108,7.5416832,1,Semiconductors,0,0,277
1,0,1997,,9,16.165907,19.338867,23.878067,8.7525816,0,Software,0,0,278
0,0,2013,,5,17.332182,19.315077,7.2637382,8.4859085,1,Business Support Services,1,0,279
0,1,2003,5,14,16.971857,19.191809,9.2068768,7.8890843,1,Semiconductors,1,0,280
1,0,1998,,1,18.123264,19.831963,5.5217662,7.6251073,0,Financial Institutions and Services,1,1,281
1,0,1998,,1,17.765247,19.018976,3.5033817,7.2936978,0,Retailers,0,1,282
1,0,2003,,1,17.409964,19.198488,5.980618,7.8705478,0,Software,1,0,283
1,0,1998,,3,17.66573,19.332705,5.2961297,7.6857033,0,Financial Institutions and Services,1,1,284
1,0,1998,,2,16.860537,19.094736,9.3390007,6.9295168,1,Business Support Services,1,1,285
0,0,2009,,8,19.021194,18.982454,.96200103,8.563695,1,Communications and Networking,0,0,286
1,0,1999,,1,17.301327,19.62472,10.210241,7.7128911,0,Software,0,1,287
1,0,1999,,1,17.588596,20.201542,13.639182,7.805882,0,Business Support Services,1,1,288
1,0,1998,,2,17.827545,19.745584,6.8076038,7.1147695,1,Business Support Services,0,1,289
